Level,ID,Name,ParentID,ParentName,FullPath,URL
3,1150163,"양말",1149944,"스타킹/양말","패션/잡화 > 스타킹/양말 > 양말",https://www.11st.co.kr/amazon/category?dispCtgr3No=1150163
3,1150162,"스타킹",1149944,"스타킹/양말","패션/잡화 > 스타킹/양말 > 스타킹",https://www.11st.co.kr/amazon/category?dispCtgr3No=1150162
2,1154006,"기타 의류/잡화",1149726,"패션/잡화","패션/잡화 > 기타 의류/잡화",https://www.11st.co.kr/amazon/category?dispCtgr2No=1154006
3,1154007,"기타 제품",1154006,"기타 의류/잡화","패션/잡화 > 기타 의류/잡화 > 기타 제품",https://www.11st.co.kr/amazon/category?dispCtgr3No=1154007
2,1149947,"우산/양산/우비",1149726,"패션/잡화","패션/잡화 > 우산/양산/우비",https://www.11st.co.kr/amazon/category?dispCtgr2No=1149947
3,1150170,"우산/양산",1149947,"우산/양산/우비","패션/잡화 > 우산/양산/우비 > 우산/양산",https://www.11st.co.kr/amazon/category?dispCtgr3No=1150170
3,1150169,"우비/레인코트",1149947,"우산/양산/우비","패션/잡화 > 우산/양산/우비 > 우비/레인코트",https://www.11st.co.kr/amazon/category?dispCtgr3No=1150169
3,1359096,"캐릭터 우산/우비",1149947,"우산/양산/우비","패션/잡화 > 우산/양산/우비 > 캐릭터 우산/우비",https://www.11st.co.kr/amazon/category?dispCtgr3No=1359096
2,1149951,"임산부의류/용품",1149726,"패션/잡화","패션/잡화 > 임산부의류/용품",https://www.11st.co.kr/amazon/category?dispCtgr2No=1149951
3,1150182,"임산부 의류",1149951,"임산부의류/용품","패션/잡화 > 임산부의류/용품 > 임산부 의류",https://www.11st.co.kr/amazon/category?dispCtgr3No=1150182
3,1150181,"임산부 속옷/잠옷",1149951,"임산부의류/용품","패션/잡화 > 임산부의류/용품 > 임산부 속옷/잠옷",https://www.11st.co.kr/amazon/category?dispCtgr3No=1150181
