,,,,,,,,,,,,,,,,,,,,,,,,
,수집카테고리,필터이름,URL,수집상품 개수,필터 누적 매출금액,,사업자명,수집사이트,총 상품개수,매출합계,,,,,,,,,,,,,,
,자전거 액세서리,섬김Trade0- 11번가 아마존-자전거 액세서리,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%259E%2590%25EC%25A0%2584%25EA%25B1%25B0%2520%25EC%2595%25A1%25EC%2584%25B8%25EC%2584%259C%25EB%25A6%25AC&tabId=AMAZON&reviewGrade=4&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&brandCd=454482325%2C2558413%2C4925752&pageNo=14,,,,,,,,,,,,,,,,,,,,,
,자전거 액세서리,섬김Trade0- 11번가 아마존-자전거 액세서리,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%259E%2590%25EC%25A0%2584%25EA%25B1%25B0%2520%25EC%2595%25A1%25EC%2584%25B8%25EC%2584%259C%25EB%25A6%25AC&tabId=AMAZON&reviewGrade=4&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&brandCd=454482325%2C2558413%2C4925752&pageNo=15,,,,,,,,,,,,,,,,,,,,,
,자전거 액세서리,섬김Trade0- 11번가 아마존-자전거 액세서리,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%259E%2590%25EC%25A0%2584%25EA%25B1%25B0%2520%25EC%2595%25A1%25EC%2584%25B8%25EC%2584%259C%25EB%25A6%25AC&tabId=AMAZON&reviewGrade=4&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&brandCd=454482325%2C2558413%2C4925752&pageNo=16,,,,,,,,,,,,,,,,,,,,,
,크리스마스 장식품,섬김Trade0- 11번가 아마존-크리스마스 장식품,https://searchn.11st.co.kr/pc/amazon?kwd=%25ED%2581%25AC%25EB%25A6%25AC%25EC%258A%25A4%25EB%25A7%2588%25EC%258A%25A4%2520%25EC%259E%25A5%25EC%258B%259D%25ED%2592%2588&tabId=AMAZON&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&brandCd=454600695%2C451944669%2C205809035%2C182891946%2C35728261&reviewGrade=4&pageNo=1,,,,,,,,,,,,,,,,,,,,,
,크리스마스 장식품,섬김Trade0- 11번가 아마존-크리스마스 장식품,https://searchn.11st.co.kr/pc/amazon?kwd=%25ED%2581%25AC%25EB%25A6%25AC%25EC%258A%25A4%25EB%25A7%2588%25EC%258A%25A4%2520%25EC%259E%25A5%25EC%258B%259D%25ED%2592%2588&tabId=AMAZON&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&brandCd=454600695%2C451944669%2C205809035%2C182891946%2C35728261&reviewGrade=4&pageNo=2,,,,,,,,,,,,,,,,,,,,,
,크리스마스 장식품,섬김Trade0- 11번가 아마존-크리스마스 장식품,https://searchn.11st.co.kr/pc/amazon?kwd=%25ED%2581%25AC%25EB%25A6%25AC%25EC%258A%25A4%25EB%25A7%2588%25EC%258A%25A4%2520%25EC%259E%25A5%25EC%258B%259D%25ED%2592%2588&tabId=AMAZON&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&brandCd=454600695%2C451944669%2C205809035%2C182891946%2C35728261&reviewGrade=4&pageNo=3,,,,,,,,,,,,,,,,,,,,,
,크리스마스 장식품,섬김Trade0- 11번가 아마존-크리스마스 장식품,https://searchn.11st.co.kr/pc/amazon?kwd=%25ED%2581%25AC%25EB%25A6%25AC%25EC%258A%25A4%25EB%25A7%2588%25EC%258A%25A4%2520%25EC%259E%25A5%25EC%258B%259D%25ED%2592%2588&tabId=AMAZON&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&brandCd=454600695%2C451944669%2C205809035%2C182891946%2C35728261&reviewGrade=4&pageNo=4,,,,,,,,,,,,,,,,,,,,,
,크리스마스 장식품,섬김Trade0- 11번가 아마존-크리스마스 장식품,https://searchn.11st.co.kr/pc/amazon?kwd=%25ED%2581%25AC%25EB%25A6%25AC%25EC%258A%25A4%25EB%25A7%2588%25EC%258A%25A4%2520%25EC%259E%25A5%25EC%258B%259D%25ED%2592%2588&tabId=AMAZON&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&brandCd=454600695%2C451944669%2C205809035%2C182891946%2C35728261&reviewGrade=4&pageNo=5,,,,,,,,,,,,,,,,,,,,,
,크리스마스 장식품,섬김Trade0- 11번가 아마존-크리스마스 장식품,https://searchn.11st.co.kr/pc/amazon?kwd=%25ED%2581%25AC%25EB%25A6%25AC%25EC%258A%25A4%25EB%25A7%2588%25EC%258A%25A4%2520%25EC%259E%25A5%25EC%258B%259D%25ED%2592%2588&tabId=AMAZON&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&brandCd=454600695%2C451944669%2C205809035%2C182891946%2C35728261&reviewGrade=4&pageNo=6,,,,,,,,,,,,,,,,,,,,,
,크리스마스 장식품,섬김Trade0- 11번가 아마존-크리스마스 장식품,https://searchn.11st.co.kr/pc/amazon?kwd=%25ED%2581%25AC%25EB%25A6%25AC%25EC%258A%25A4%25EB%25A7%2588%25EC%258A%25A4%2520%25EC%259E%25A5%25EC%258B%259D%25ED%2592%2588&tabId=AMAZON&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&brandCd=454600695%2C451944669%2C205809035%2C182891946%2C35728261&reviewGrade=4&pageNo=7,,,,,,,,,,,,,,,,,,,,,
